specimen,Type,Color,Color_broad,Lat,Lon,Ms,Mr,Mr/Ms,Bc,Bcr,Bcr/Bc
JRC21-1A,2,1,1,47.761901,-109.373392,0.12400,0.04620,0.37258,19.30000,33.01721,1.71074
JRC21-1B,2,1,1,47.761901,-109.373392,0.18400,0.07350,0.39946,21.20000,33.75919,1.59241
JRC21-1C,2,1,1,47.761901,-109.373392,0.09890,0.03880,0.39232,22.60000,34.55576,1.52902
JRC21-1D,3,11,10,47.761901,-109.373392,0.09180,0.02740,0.29847,22.20000,56.37728,2.53952
JRC21-1E,3,11,10,47.761901,-109.373392,0.03090,0.01240,0.40129,146.30000,,
JRC21-1F,3,11,10,47.761901,-109.373392,0.04870,0.02100,0.43121,187.30000,55.15684,0.29448
21LJCC-1A,1,1,1,45.685778,-105.072833,0.00001,0.00000,0.08173,3.80000,1.79738,0.47299
21LJCC-1B,1,1,1,45.685778,-105.072833,0.00001,0.00000,0.11328,5.50000,2.26271,0.41140
21LJCC-1C,1,1,1,45.685778,-105.072833,0.00001,0.00000,0.05212,3.50000,12.28317,3.50948
21LJCC-1D,2,5,5,45.685778,-105.072833,0.00008,0.00001,0.07183,2.70000,35.17070,13.02619
21LJCC-1E,2,5,5,45.685778,-105.072833,0.00007,0.00001,0.08278,3.20000,10.02861,3.13394
21LJCC-1F,2,5,5,45.685778,-105.072833,0.00007,0.00001,0.08150,3.10000,,
21LJCC-1G,3,8,5,45.685778,-105.072833,0.00008,0.00001,0.07798,3.60000,14.31039,3.97511
21LJCC-1H,3,8,5,45.685778,-105.072833,0.00009,0.00001,0.06006,3.70000,38.39490,10.37700
21LJCC-1I,3,8,5,45.685778,-105.072833,0.00009,0.00001,0.07420,3.50000,14.55300,4.15800
21LJCC-1J,5,14,10,45.685778,-105.072833,0.00044,0.00003,0.06239,3.70000,,
21LJCC-1K,5,14,10,45.685778,-105.072833,0.00040,0.00003,0.07273,3.30000,,
21LJCC-1L,5,14,10,45.685778,-105.072833,0.00042,0.00003,0.06364,3.80000,2.11882,0.55759
21LJCC-1M,4,13,13,45.685778,-105.072833,0.00005,0.00001,0.11449,7.50000,19.42486,2.58998
21LJCC-1N,4,13,13,45.685778,-105.072833,0.00005,0.00000,0.06894,4.40000,3.73472,0.84880
21LJCC-1O,4,13,13,45.685778,-105.072833,0.00005,0.00000,0.02364,1.60000,38.90082,24.31301
21IRAC-1A,3,5,5,47.534986,-107.17344,0.20700,0.04580,0.22126,18.20000,29.51700,1.62181
21IRAC-1B,3,5,5,47.534986,-107.17344,0.22500,0.05150,0.22889,18.60000,27.53957,1.48062
21IRAC-1C,3,5,5,47.534986,-107.17344,0.21100,0.04870,0.23081,18.80000,58.04180,3.08733
21IRAC-1D,3,8,5,47.534986,-107.17344,0.27800,0.06620,0.23813,14.50000,10.99826,0.75850
21IRAC-1E,3,8,5,47.534986,-107.17344,0.19300,0.00817,0.04233,1.80000,43.98894,24.43830
21IRAC-1F,3,8,5,47.534986,-107.17344,0.30100,0.07080,0.23522,14.40000,12.63228,0.87724
21IRAC-1G,3,9,5,47.534986,-107.17344,0.18400,0.02790,0.15163,7.30000,39.06386,5.35121
21IRAC-1H,3,9,5,47.534986,-107.17344,0.18000,0.03620,0.20111,8.80000,50.21842,5.70664
21IRAC-1I,3,9,5,47.534986,-107.17344,0.16800,0.01540,0.09167,4.60000,39.29634,8.54268
21IRAC-2A,3,6,5,47.526944,-107.210611,0.03720,0.00749,0.20134,8.10000,30.14153,3.72118
21IRAC-2B,3,6,5,47.526944,-107.210611,0.03470,0.00691,0.19914,7.70000,30.46208,3.95611
21IRAC-2C,3,6,5,47.526944,-107.210611,0.03230,0.06130,1.89783,6.70000,30.04061,4.48367
21IRAC-2D,3,5,5,47.526944,-107.210611,0.09900,0.02800,0.28283,12.40000,37.57856,3.03053
21IRAC-2E,3,5,5,47.526944,-107.210611,0.14100,0.02850,0.20213,11.90000,37.25916,3.13102
21IRAC-2F,3,5,5,47.526944,-107.210611,0.09840,0.02830,0.28760,12.70000,37.40726,2.94545
21IRAC-3A,1,3,1,47.526944,-107.210611,0.00053,0.00008,0.15273,16.60000,53.22800,3.20651
21IRAC-3B,1,3,1,47.526944,-107.210611,0.00037,0.00000,0.00000,,76.89438,
21IRAC-3C,1,3,1,47.526944,-107.210611,0.00042,,,,86.02112,
21IRAC-4A,1,3,1,47.526944,-107.210611,0.00095,0.00002,0.02036,2.40000,77.64933,32.35389
21IRAC-4B,1,3,1,47.526944,-107.210611,0.00062,0.00013,0.21070,17.00000,0.70612,0.04154
21IRAC-4C,1,3,1,47.526944,-107.210611,0.00078,0.00049,0.62677,4.90000,3.69277,0.75363
21IRAC-4D,1,4,1,47.526944,-107.210611,0.00059,0.00054,0.91171,495.20000,,
21IRAC-4E,1,4,1,47.526944,-107.210611,0.10900,,,,12.73971,
21IRAC-4F,1,4,1,47.526944,-107.210611,0.00011,0.00007,0.64587,203.90000,7.90442,0.03877
HHCC21-1A,1,5,5,47.534986,-107.17344,0.00001,0.00000,0.17426,7.60000,56.04854,7.37481
HHCC21-1B,1,5,5,47.534986,-107.17344,0.00001,0.00000,0.19545,8.60000,51.43506,5.98082
HHCC21-1C,1,5,5,47.534986,-107.17344,0.00002,0.00000,0.01781,0.60000,54.62191,91.03652
HHCC21-1D,2,8,5,47.534986,-107.17344,0.00005,0.00000,0.08322,4.80000,46.29269,9.64431
HHCC21-1E,2,8,5,47.534986,-107.17344,0.00004,0.00001,0.17825,8.40000,36.79611,4.38049
HHCC21-1F,2,8,5,47.534986,-107.17344,0.00004,0.00001,0.28904,14.90000,51.87169,3.48132
HHCC21-1G,5,9,5,47.534986,-107.17344,0.00001,0.00000,0.32389,14.40000,31.55442,2.19128
HHCC21-1H,5,9,5,47.534986,-107.17344,0.00001,0.00000,0.30536,14.00000,33.54665,2.39619
HHCC21-1I,5,9,5,47.534986,-107.17344,0.00001,0.00000,0.07754,3.50000,34.45128,9.84322
21IRAC-3A,3,12,10,47.526944,-107.210611,0.00001,0.00000,0.05135,3.70000,43.52515,11.76355
21IRAC-3B,3,12,10,47.526944,-107.210611,0.00001,0.00000,0.11209,7.50000,37.76618,5.03549
21IRAC-3C,3,12,10,47.526944,-107.210611,0.00001,0.00000,0.07742,4.80000,14.03605,2.92418
HHCC21-3A,2,7,5,47.534986,-107.17344,0.00003,0.00001,0.17378,5.40000,2.56926,0.47579
HHCC21-3B,2,7,5,47.534986,-107.17344,0.00003,0.00000,0.00013,,7.03017,
HHCC21-3C,2,7,5,47.534986,-107.17344,0.00003,0.00000,0.04855,1.50000,8.85531,5.90354
21LJCCUB-1A,1,3,1,45.685778,-105.072833,0.00000,0.00000,0.98701,36.80000,48.62064,1.32121
21LJCCUB-1B,1,3,1,45.685778,-105.072833,0.00000,0.00000,0.99886,,52.61732,
21LJCCUB-1C,1,3,1,45.685778,-105.072833,0.00000,0.00000,0.43249,119.00000,38.11295,0.32028
21LJCCUB-1D,1,3,1,45.685778,-105.072833,0.00000,,,,16.24622,
21LJCCUB-1E,1,3,1,45.685778,-105.072833,0.00000,0.00000,0.09067,1.70000,14.17613,8.33890
21LJCCUB-1F,1,3,1,45.685778,-105.072833,0.00000,0.00000,0.00048,,5.97590,
21LJCCUB-2A,1,2,1,45.685778,-105.072833,0.00000,0.00000,0.01437,0.60000,0.23209,0.38681
21LJCCUB-2B,1,2,1,45.685778,-105.072833,0.00000,0.00000,0.23245,8.20000,6.40081,0.78059
21LJCCUB-2C,1,2,1,45.685778,-105.072833,0.00000,0.00000,0.23545,8.50000,18.06024,2.12473
21LJCCUB-3A,1,2,1,45.685778,-105.072833,0.00000,,,,7.47686,
21LJCCUB-3B,1,2,1,45.685778,-105.072833,0.00000,0.00000,0.00000,,58.28088,
21LJCCUB-3C,1,2,1,45.685778,-105.072833,0.00000,0.00000,0.00000,,42.28450,
21WMCC-1A,3,7,5,47.363889,-105.631111,0.02320,0.00410,0.17672,5.20000,8.01190,1.54075
21WMCC-1B,3,7,5,47.363889,-105.631111,0.02120,0.00388,0.18302,5.60000,17.35654,3.09938
21WMCC-1C,3,7,5,47.363889,-105.631111,0.01720,0.00361,0.20988,6.50000,16.39568,2.52241
CNF1-1b,2,10,10,45.307617,-106.224717,0.110,0.054,0.488,28.119,50.485,1.795
CNF1-2b,2,10,10,45.307617,-106.224717,0.216,0.099,0.456,32.948,58.222,1.767
CNF1-3b,2,10,10,45.307617,-106.224717,0.185,0.095,0.515,34.695,80.104,2.309
CNF10-1b,2,9,5,45.569162,-106.201175,0.009,0.004,0.424,53.972,197.232,3.654
CNF10-2b,2,9,5,45.569162,-106.201175,0.089,0.042,0.468,59.595,210.745,3.536
